agent_id,x_rev,y_rev,total_rev,approach_dwell,duration,detour_ratio,start_x,start_y,end_x,end_y,gate_idx
1895,0,0,0,2.7,6.0,1.1,5.2,9.7,9.8,14.8,6
1896,13,13,26,7.5,12.0,1.57,3.9,9.8,8.8,9.9,0
1898,0,6,6,5.8,8.3,1.05,5.4,9.2,10.0,9.9,0
1900,0,9,9,4.9,10.1,1.05,3.7,8.4,9.0,9.7,0
1901,0,9,9,4.8,8.4,1.03,5.4,9.3,9.4,10.1,0
1903,0,4,4,4.8,8.1,1.08,5.2,8.6,10.3,9.1,4
1904,0,8,8,3.9,7.6,1.03,3.7,9.2,10.0,11.1,1
1905,2,5,7,3.8,10.4,1.07,4.1,8.0,8.9,10.8,1
1906,1,4,5,4.5,8.0,1.07,4.8,9.1,9.1,10.2,0
1909,41,41,82,10.7,12.1,2.2,5.4,8.3,8.4,9.6,0
1912,1,1,2,4.9,9.1,1.09,5.7,9.1,9.0,10.0,0
1914,10,13,23,7.2,12.5,1.33,4.4,8.0,8.7,10.8,1
1916,2,8,10,2.9,6.8,1.09,5.0,10.9,10.1,11.5,1
1918,0,3,3,2.8,7.6,1.03,4.4,9.9,9.7,11.6,1
1923,2,7,9,6.3,8.4,1.11,5.4,8.3,9.3,10.4,1
1925,1,7,8,4.4,7.7,1.11,4.9,8.8,10.0,11.0,1
1926,0,2,2,1.3,5.8,1.06,3.5,9.7,8.9,13.9,5
1928,0,0,0,2.5,6.2,1.07,4.5,10.6,9.4,14.8,6
1930,0,5,5,4.9,10.5,1.1,4.9,8.4,8.9,10.2,1
1932,3,8,11,4.0,8.3,1.23,4.5,10.4,8.8,11.0,1
1933,0,0,0,1.6,6.1,1.07,4.0,9.7,9.0,14.8,6
1934,1,6,7,4.2,11.4,1.09,4.7,8.6,8.2,10.9,2
1937,0,7,7,4.6,8.2,1.06,5.2,9.4,9.3,11.4,1
1939,0,6,6,3.9,8.4,1.03,4.2,9.4,9.0,11.1,1
1940,2,0,2,1.8,6.2,1.08,4.6,9.9,8.9,14.7,6
1943,2,8,10,3.6,10.0,1.07,4.0,9.4,8.7,10.9,1
1947,10,10,20,5.7,8.3,1.18,6.3,7.8,8.8,10.4,1
1950,2,9,11,3.8,11.1,1.07,4.0,8.6,9.2,11.0,1
1955,0,5,5,2.3,10.5,1.04,4.6,9.0,7.9,10.3,0
1956,6,10,16,4.8,8.3,1.14,5.2,10.3,8.4,10.5,0
1958,3,7,10,5.2,5.2,1.13,7.2,9.0,9.1,9.6,0
1959,8,10,18,3.7,8.3,1.09,4.3,10.8,8.5,11.3,0
1962,0,6,6,4.6,8.6,1.04,5.2,9.8,9.0,10.2,0
1964,2,10,12,3.8,6.4,1.14,5.4,10.9,8.4,11.1,0
1965,0,0,0,1.4,3.9,1.04,4.2,10.7,9.0,13.2,4
1967,2,6,8,2.6,8.4,1.08,4.0,10.1,8.4,11.4,1
1968,2,0,2,0.7,6.3,1.05,4.3,8.7,7.8,12.3,3
1970,0,1,1,1.3,7.8,1.05,3.8,8.2,8.5,12.7,3
1971,2,3,5,1.1,5.4,1.11,3.6,9.7,8.4,12.6,3
1973,3,1,4,1.0,5.9,1.1,4.1,9.2,8.5,13.5,4
1977,2,7,9,4.3,6.3,1.09,5.3,8.8,8.7,10.2,2
1981,0,1,1,1.0,6.5,1.03,5.2,9.1,7.9,12.0,3
1983,0,2,2,2.0,6.2,1.04,4.9,10.0,7.9,14.6,6
1984,0,3,3,2.6,7.1,1.06,5.5,8.1,8.5,10.4,1
1985,0,0,0,2.4,4.7,1.08,4.8,10.4,8.8,14.6,6
1986,2,1,3,1.1,6.6,1.08,4.4,8.5,8.1,12.0,3
1988,1,1,2,1.2,3.4,1.12,6.1,10.6,8.8,12.0,2
1991,0,7,7,1.0,6.3,1.07,4.6,8.1,7.9,9.6,2
1994,0,1,1,3.5,5.0,1.04,6.0,8.2,8.0,10.0,2
1995,3,7,10,1.5,5.4,1.16,4.8,8.6,8.6,9.5,0
1999,1,2,3,1.4,3.6,1.04,6.0,8.4,8.4,9.5,2
2001,0,0,0,0.8,4.2,1.02,4.5,10.9,8.1,13.2,4
2002,4,3,7,1.4,5.7,1.1,3.9,10.3,8.4,12.0,2
2004,0,0,0,0.6,4.8,1.01,4.8,10.1,7.5,13.7,5
2005,0,4,4,1.9,6.3,1.07,4.8,9.4,8.9,9.9,0
2008,1,4,5,1.0,6.2,1.12,5.6,9.1,7.8,10.8,2
2010,0,1,1,1.0,5.3,1.08,4.0,10.6,8.2,11.7,2
2013,5,4,9,0.7,5.6,1.22,4.8,9.5,7.9,11.8,2
2014,0,0,0,0.0,4.8,1.03,4.5,9.0,6.4,10.7,3
2020,0,4,4,1.3,4.3,1.03,6.2,9.7,8.3,9.7,0
2022,0,3,3,0.7,5.1,1.15,4.2,10.0,7.7,12.2,2
2023,0,4,4,1.4,4.3,1.06,5.4,10.4,8.5,10.5,0
2026,5,6,11,0.0,4.7,1.33,5.6,9.1,7.0,10.4,2
2027,1,0,1,0.0,3.3,1.03,5.3,10.6,6.9,12.0,5
2030,0,0,0,0.0,4.1,1.0,4.1,9.4,6.7,12.3,5
2031,0,0,0,0.0,4.1,1.02,3.5,9.3,6.0,12.2,4
2032,0,0,0,0.0,3.9,1.01,3.7,8.6,6.4,10.6,2
2035,0,0,0,1.1,3.6,1.02,5.7,10.3,8.1,11.3,2
2037,1,2,3,0.0,3.4,1.09,3.7,9.0,5.6,10.3,4
2039,0,0,0,0.0,2.9,1.0,5.3,7.9,6.3,9.6,3
2041,0,1,1,0.0,1.7,1.08,6.2,9.1,7.0,9.6,3
2045,1,1,2,0.0,2.8,1.11,5.4,9.6,6.2,11.4,6
2046,0,3,3,0.0,2.6,1.03,4.1,9.1,6.2,9.3,0
2048,0,1,1,0.0,2.3,1.02,4.6,10.2,5.5,11.4,4
2049,3,0,3,0.0,2.1,1.08,3.9,9.4,4.9,11.8,6
2051,0,0,0,0.0,1.9,1.03,3.8,8.6,5.7,9.8,2
2054,0,0,0,0.0,1.0,1.0,6.5,8.8,6.9,9.5,5
2055,0,1,1,0.0,1.5,1.03,4.4,8.4,5.4,8.8,0
2057,0,0,0,0.0,1.3,1.0,3.6,9.6,4.6,9.7,0
2059,0,1,1,0.0,1.0,1.04,4.7,10.6,5.4,10.8,0
